product_name,shipping_fee,page_number,product_condition,seller_feedback_score,origin_country,manufacturer,category,product_price
dell precision,152.15,2,Used,3948,United States,dell,Computers,1267.62
iphone 12,196.49,1,Used,335,United Kingdom,apple,Smartphones,3072.65
huawei p30,119.5,3,Used,237,United Kingdom,huawei,Smartphones,1380.96
galaxy s20,112.88,4,Used,17146,United States,samsung,Smartphones,2158.2
iphone 11,133.76,2,Seller refurbished,130,United States,apple,Smartphones,2098.34
macbook pro,122.54,4,Used,2374,United States,apple,Computers,1509.81
iphone 11,172.81,2,Used,277,United Kingdom,apple,Smartphones,1938.02
galaxy s20,91.04,3,Seller refurbished,44117,United States,samsung,Smartphones,1223.02
asus vivobook,145.49,1,Used,2652,United States,asus,Computers,1165.71
oneplus nord,96.44,2,Seller refurbished,766,United Kingdom,oneplus,Smartphones,1141.52
lenovo thinkpad,163.93,1,Seller refurbished,428,United Kingdom,lenovo,Computers,777.97
macbook pro,139.06,1,Seller refurbished,4770,United States,apple,Computers,1981.77
lenovo thinkbook,183.49,4,New,284014,United States,lenovo,Computers,2325.4
hp zbook,252.09,1,New,11636,United States,hp,Computers,6500.57
asus vivobook,233.9,3,Open box,25284,United Kingdom,asus,Computers,2669.81
lenovo ideapad,145.49,3,New,7471,United States,lenovo,Computers,1165.71
lenovo tab,99.45,2,Open box,3415,United Kingdom,lenovo,Tablets,355.35
lenovo thinkpad,230.15,3,Used,1282,United States,lenovo,Computers,1003.5
dell xps,188.06,4,New,11993,United States,dell,Computers,3148.24
asus rog strix scar,222.98,1,Used,62352,United States,asus,Computers,4211.38
iphone 12,128.07,2,Open box,742,United Kingdom,apple,Smartphones,1809.12
oneplus 8 pro,94.03,1,Open box,6734,United States,oneplus,Smartphones,1170.08
galaxy s20,119.23,3,Seller refurbished,1137,United Kingdom,samsung,Smartphones,2297.08
dell precision,226.45,1,Used,2468,United States,dell,Computers,1755.16
galaxy s21,110.01,1,Used,43886,United States,samsung,Smartphones,1915.12
lenovo tab,80.56,2,Seller refurbished,12487,United Kingdom,lenovo,Tablets,269.66
hp zbook,346.32,1,Used,40,United States,hp,Computers,2925.27
galaxy s10,92.7,1,Seller refurbished,2396,United States,samsung,Smartphones,1101.82
xiaomi mi 10,138.1,1,New,2825,United Kingdom,xiaomi,Smartphones,897.61
macbook pro,662.81,4,Used,5968,United States,apple,Computers,9322.64
ipad pro,106.06,3,Used,2317,United States,apple,Tablets,751.52
iphone 11,136.56,4,New,217,United States,apple,Smartphones,1865.19
lenovo thinkbook,426.3,2,New,25346,United States,lenovo,Computers,2524.61
huawei p30,91.65,2,Used,19205,United Kingdom,huawei,Smartphones,782.53
lenovo ideapad,133.89,4,New,22,United States,lenovo,Computers,2497.86
lenovo tab,65.01,3,New,6,United States,lenovo,Tablets,455.04
galaxy s10,96.5,1,Open box,16060,United States,samsung,Smartphones,1299.73
galaxy s20,110.98,1,Open box,11604,United States,samsung,Smartphones,1965.08
iphone 11,108.41,1,Open box,1785,United States,apple,Smartphones,1831.12
lenovo ideapad,276.2,2,Used,903,United Kingdom,lenovo,Computers,1288.9
asus zenbook,112.85,2,Seller refurbished,227,United Kingdom,asus,Computers,1124.03
lenovo tab,102.74,4,Seller refurbished,8407,United States,lenovo,Tablets,975.06
lenovo thinkbook,196.41,2,New,296957,United States,lenovo,Computers,3419.73
ipad pro,126.53,2,Used,267,United Kingdom,apple,Tablets,2166.76
dell latitude,130.66,2,Used,460,United States,dell,Tablets,754.4
lenovo tab,373.78,4,Open box,427,United States,lenovo,Tablets,373.78
lenovo tab,130.01,3,New,486,Hong Kong,lenovo,Tablets,926.17
lenovo thinkbook,212.0,1,New,296957,United States,lenovo,Computers,3426.46
huawei p40,138.05,1,New,3108,United Kingdom,huawei,Smartphones,621.45
dell vostro,235.41,3,Seller refurbished,520,United Kingdom,dell,Computers,1805.63
lenovo thinkpad,296.98,1,Used,178092,United States,lenovo,Computers,536.3
asus zenbook,187.28,4,New,11993,United States,asus,Computers,3488.59
macbook air,118.94,1,Seller refurbished,4770,United States,apple,Computers,1322.29
lenovo tab,98.66,2,Open box,418,United States,lenovo,Tablets,416.97
lenovo thinkpad,171.24,3,Used,395,United Kingdom,lenovo,Computers,2024.14
dell latitude,119.87,1,Used,2302,United States,dell,Tablets,143.19
dell xps,150.39,1,Used,278,United States,dell,Computers,684.19
xiaomi mi 10,0.0,3,New,5010,United Kingdom,xiaomi,Smartphones,3593.97
galaxy s21,195.85,2,New,242,Germany,samsung,Smartphones,2604.85
lenovo tab,126.0,2,New,5523,United States,lenovo,Tablets,815.99
dell vostro,244.01,1,Used,1282,United States,dell,Computers,1695.37
xiaomi mi 10,0.0,2,New,4906,China,xiaomi,Smartphones,2437.69
hp zbook,267.56,1,New,296957,United States,hp,Computers,6545.06
asus zephyrus,142.97,1,Used,700,Canada,asus,Computers,7798.51
iphone 12,135.18,1,Used,289,United Kingdom,apple,Smartphones,3227.19
galaxy s21,0.0,3,New,6426,South,samsung,Smartphones,4996.02
iphone 11,175.56,3,Used,39,United States,apple,Smartphones,2731.18
oneplus nord,0.0,2,New,60,Germany,oneplus,Smartphones,1459.38
huawei p40,110.98,1,Used,43886,United States,huawei,Smartphones,1965.08
lenovo thinkpad,215.28,2,Used,364,United Kingdom,lenovo,Computers,445.31
dell precision,228.85,2,Seller refurbished,2875,United States,dell,Computers,4062.84
lenovo thinkpad,144.54,3,Used,21513,United States,lenovo,Computers,1270.87
galaxy s10,99.32,4,Seller refurbished,127396,United Kingdom,samsung,Smartphones,1326.89
iphone 11,108.41,1,Open box,16060,United States,apple,Smartphones,1831.49
dell vostro,187.96,1,New,330,United States,dell,Computers,1398.71
hp zbook,233.25,4,Used,391,United States,hp,Computers,1295.84
dell xps,150.98,3,Open box,47486,United States,dell,Computers,2732.36
asus vivobook,151.21,1,New,11027,United States,asus,Computers,1465.34
asus rog strix scar,244.91,2,New,365,United States,asus,Computers,5740.54
lenovo thinkbook,215.9,3,New,78929,United Kingdom,lenovo,Computers,4303.96
galaxy s20,158.31,2,New,22198,United States,samsung,Smartphones,4163.21
asus vivobook,133.36,1,New,21088,United States,asus,Computers,895.96
iphone 12,193.85,1,Used,267,United Kingdom,apple,Smartphones,4373.15
galaxy s20,103.94,3,Seller refurbished,94331,United States,samsung,Smartphones,1690.12
huawei p40,88.66,4,Seller refurbished,28174,United Kingdom,huawei,Smartphones,618.28
oneplus 8 pro,94.03,2,Seller refurbished,94331,United States,oneplus,Smartphones,1170.08
xiaomi mi 10,199.7,3,New,128,Germany,xiaomi,Smartphones,1402.09
galaxy s21,116.31,2,Open box,43886,United States,samsung,Smartphones,2244.86
ipad air,135.38,2,Used,1231,United Kingdom,apple,Tablets,207.15
iphone 12,50.92,2,New,0,Philippines,apple,Smartphones,1942.87
ipad air,127.38,2,Used,267,United Kingdom,apple,Tablets,665.65
huawei matebook,194.95,2,New,78929,United Kingdom,huawei,Computers,3153.12
asus vivobook,137.86,1,Used,100,United States,asus,Computers,766.06
galaxy s21,83.27,1,New,3,Sweden,samsung,Smartphones,2664.56
galaxy tab,81.26,2,Used,19205,United Kingdom,samsung,Tablets,293.38
asus zenbook,272.83,2,New,1213,United States,asus,Computers,4597.16
galaxy s21,140.22,4,New,20820,United States,samsung,Smartphones,3497.2
galaxy s21,161.21,1,New,12894,United Kingdom,samsung,Smartphones,4603.32
iphone 12,88.52,2,Used,3,Australia,apple,Smartphones,3603.92
galaxy s10,107.36,3,Used,545,United States,samsung,Smartphones,674.44
iphone 11,150.95,2,Used,35,United States,apple,Smartphones,2997.63
ipad air,109.65,3,Seller refurbished,17427,United Kingdom,apple,Tablets,1146.24
asus zenbook,237.81,3,Seller refurbished,11993,United States,asus,Computers,5323.87
galaxy s21,0.0,1,New,9678,South,samsung,Smartphones,4163.34
lenovo thinkpad,273.94,2,Used,405,United States,lenovo,Computers,43.88
huawei p30,95.84,1,Seller refurbished,1276,United Kingdom,huawei,Smartphones,1012.69
ipad pro,97.39,1,Used,5219,United States,apple,Tablets,296.7
huawei mediapad,58.51,2,Seller refurbished,11971,China,huawei,Tablets,518.72
asus zenbook,275.96,3,New,1213,United States,asus,Computers,4760.18
dell precision,193.07,1,Used,8212,United States,dell,Computers,1007.56
huawei p30,102.56,2,Used,5385,United Kingdom,huawei,Smartphones,1380.96
iphone 11,99.55,4,Seller refurbished,214574,United States,apple,Smartphones,2314.8
dell latitude,229.57,1,Used,548,United Kingdom,dell,Tablets,184.13
macbook pro,159.17,4,Used,313,United States,apple,Computers,2248.22
lenovo thinkbook,187.82,3,New,78929,United Kingdom,lenovo,Computers,2761.88
dell xps,256.53,3,Seller refurbished,1359,United Kingdom,dell,Computers,1596.82
dell xps,208.08,3,Seller refurbished,14943,United Kingdom,dell,Computers,4048.23
oneplus nord,158.32,1,Used,39515,United States,oneplus,Smartphones,107.26
dell precision,227.13,1,Seller refurbished,1421,United States,dell,Computers,2531.98
huawei p40,119.87,1,New,119196,United States,huawei,Smartphones,1818.53
galaxy s20,111.6,2,Seller refurbished,127396,United Kingdom,samsung,Smartphones,1974.62
oneplus 8 pro,94.03,2,Seller refurbished,94331,United States,oneplus,Smartphones,1170.08
macbook pro,237.05,1,Used,357,United States,apple,Computers,1598.74
galaxy s10,13.71,3,New,107283,Germany,samsung,Smartphones,35.21
asus zephyrus,287.07,1,Used,100,United Kingdom,asus,Computers,5825.03
lenovo ideapad,202.71,1,New,296957,United States,lenovo,Computers,2497.99
xiaomi mi 10,96.84,3,New,88,United Kingdom,xiaomi,Smartphones,1164.56
galaxy s10,98.35,2,Open box,17337,United States,samsung,Smartphones,1397.6
iphone 11,105.58,3,Seller refurbished,17171,United States,apple,Smartphones,1682.0
lenovo ideapad,162.9,1,New,5304,United States,lenovo,Computers,1665.32
xiaomi mi 10,92.07,1,Used,614,United Kingdom,xiaomi,Smartphones,920.67
hp zbook,211.49,1,New,16243,Germany,hp,Computers,7252.87
ipad pro,155.23,3,Seller refurbished,90596,United States,apple,Tablets,3325.12
asus rog strix scar,309.24,1,New,3428,United Kingdom,asus,Computers,8321.64
iphone 12,120.8,4,Open box,10093,United States,apple,Smartphones,2198.23
galaxy book,128.61,1,Used,3956,United States,samsung,Computers,1946.93
asus vivobook,179.82,3,New,296957,United States,asus,Computers,2550.49
iphone 12,136.99,3,New,29659,United States,apple,Smartphones,3327.37
asus zenbook,274.85,3,Used,1229,United States,asus,Computers,2931.1
galaxy tab,100.21,2,Open box,2689,United Kingdom,samsung,Tablets,722.18
lenovo tab,0.0,3,New,8390,China,lenovo,Tablets,830.87
ipad air,118.61,1,New,1059,United States,apple,Tablets,2364.63
dell vostro,134.69,1,Seller refurbished,69328,United States,dell,Computers,599.36
oneplus 8 pro,194.86,1,Used,27898,United States,oneplus,Smartphones,318.53
hp zbook,265.18,1,New,3461,United Kingdom,hp,Computers,6525.67
dell vostro,242.5,3,New,25284,United Kingdom,dell,Computers,3340.45
ipad pro,108.21,4,Used,5219,United States,apple,Tablets,864.01
xiaomi mi 10,99.92,1,New,1641,China,xiaomi,Smartphones,2964.32
iphone 12,152.0,2,New,102,United States,apple,Smartphones,3915.72
huawei matebook,262.78,2,New,78929,United Kingdom,huawei,Computers,5096.15
iphone x,138.82,2,Used,774,United States,apple,Smartphones,975.09
dell precision,190.01,1,Open box,173,United States,dell,Computers,3250.3
macbook air,126.67,4,Used,43886,United States,apple,Computers,932.56
galaxy s21,118.24,2,Open box,43886,United States,samsung,Smartphones,2344.78
iphone 12,170.55,3,Open box,235,United Kingdom,apple,Smartphones,2762.02
asus zenbook,266.34,2,New,365,United States,asus,Computers,6817.46
oneplus nord,126.76,3,New,5010,United Kingdom,oneplus,Smartphones,2239.46
huawei matebook,333.07,1,New,1641,China,huawei,Computers,5645.54
huawei matebook,230.75,2,Seller refurbished,293554,United Kingdom,huawei,Computers,4318.12
iphone 12,157.68,1,New,130,United States,apple,Smartphones,4130.07
huawei matebook,0.0,1,Seller refurbished,177,France,huawei,Computers,5064.77
oneplus nord,136.51,1,New,17243,Hong Kong,oneplus,Smartphones,1397.5
galaxy tab,85.85,3,Used,146,United States,samsung,Tablets,456.46
galaxy book,174.73,2,New,5010,United Kingdom,samsung,Computers,6581.53
dell xps,185.23,2,Used,62,United States,dell,Computers,1413.88
lenovo thinkpad,132.06,1,Used,1795,United States,lenovo,Computers,617.52
macbook air,172.43,4,Open box,1193,United States,apple,Computers,3329.57
iphone 12,130.63,3,New,29659,United States,apple,Smartphones,2994.3
galaxy s20,95.4,3,Used,30883,United States,samsung,Smartphones,1241.58
macbook air,198.51,2,Seller refurbished,11341,United States,apple,Computers,1215.54
galaxy tab,146.05,1,Used,558,United States,samsung,Tablets,129.9
asus vivobook,154.41,2,New,543,United States,asus,Computers,1998.39
iphone x,98.35,1,New,3735,United States,apple,Smartphones,1397.6
ipad air,141.16,1,Seller refurbished,989,United States,apple,Tablets,865.95
lenovo thinkbook,220.63,2,New,318627,United States,lenovo,Computers,3877.44
dell vostro,167.26,2,Open box,156,United States,dell,Computers,2037.75
xiaomi mi 10,112.5,1,New,56,United Kingdom,xiaomi,Smartphones,2023.92
lenovo thinkpad,107.68,1,Used,11565,United States,lenovo,Computers,732.59
galaxy s20,104.22,2,Used,9190,United Kingdom,samsung,Smartphones,1569.83
xiaomi mi 10,77.94,2,New,53,Germany,xiaomi,Smartphones,2175.78
iphone 11,99.55,2,Open box,214574,United States,apple,Smartphones,1825.19
huawei mediapad,0.0,3,New,21,Japan,huawei,Tablets,520.89
oneplus nord,156.66,3,New,16243,Germany,oneplus,Smartphones,2341.64
asus vivobook,186.85,3,New,7471,United States,asus,Computers,3330.67
galaxy s21,153.35,2,Used,14763,United States,samsung,Smartphones,1998.12
iphone 12,23.02,4,New,0,Philippines,apple,Smartphones,1473.08
macbook pro,232.62,4,Used,87,United States,apple,Computers,2997.63
xiaomi mi 10,117.57,1,New,4063,Italy,xiaomi,Smartphones,1959.15
huawei p40,174.73,3,New,5010,United Kingdom,huawei,Smartphones,959.75
iphone 11,137.06,2,Used,314,United States,apple,Smartphones,1604.27
lenovo thinkpad,137.06,2,Open box,539,Germany,lenovo,Computers,1809.69
ipad air,131.53,4,Used,29594,United States,apple,Tablets,1981.77
lenovo ideapad,204.57,2,Open box,25284,United Kingdom,lenovo,Computers,1058.64
dell vostro,224.93,2,Seller refurbished,1597,United States,dell,Computers,1919.23
macbook air,191.38,1,Used,785,United States,apple,Computers,832.68
huawei p40,199.73,2,New,128,Germany,huawei,Smartphones,3114.07
lenovo ideapad,207.11,2,Seller refurbished,40683,United Kingdom,lenovo,Computers,2025.43
ipad pro,102.7,3,Used,691,United Kingdom,apple,Tablets,857.65
dell xps,205.55,3,Used,43886,United States,dell,Computers,3656.49
asus vivobook,132.4,2,New,3650,United States,asus,Computers,1632.01
asus zenbook,243.72,4,Used,27241,United Kingdom,asus,Computers,5322.58
macbook air,153.31,1,Used,5968,United States,apple,Computers,2328.16
iphone 11,108.41,1,Used,38423,United States,apple,Smartphones,1831.85
lenovo ideapad,203.34,2,New,1309,United States,lenovo,Computers,2131.62
xiaomi mi 11,136.51,4,New,486,Hong Kong,xiaomi,Smartphones,3250.2
asus zenbook,0.0,3,New,6426,South,asus,Computers,5216.6
asus zephyrus,223.72,1,Seller refurbished,2927,United States,asus,Computers,4225.36
asus zenbook,200.34,3,Used,78929,United Kingdom,asus,Computers,3597.67
macbook pro,133.59,2,Seller refurbished,3622,United States,apple,Computers,1295.64
ipad air,169.07,2,Open box,9886,United States,apple,Tablets,1332.28
dell xps,228.1,3,Open box,9012,United Kingdom,dell,Computers,4493.59
galaxy s20,137.49,1,Used,545,United States,samsung,Smartphones,1915.15
iphone 12,157.85,3,Open box,6909,United Kingdom,apple,Smartphones,4419.18
asus rog strix scar,290.37,2,Used,17,United States,asus,Computers,4389.66
dell xps,220.32,3,Used,2178,United Kingdom,dell,Computers,2249.0
galaxy tab,92.69,1,New,2225,United States,samsung,Tablets,815.07
iphone 11,105.09,2,Used,9190,United Kingdom,apple,Smartphones,1519.11
ipad air,188.02,1,New,4859,United States,apple,Tablets,2331.32
iphone 11,116.31,2,Used,17171,United States,apple,Smartphones,2394.77
galaxy s20,133.91,4,Used,18,United Kingdom,samsung,Smartphones,2249.04
huawei p30,96.86,2,Seller refurbished,12350,United States,huawei,Smartphones,945.92
lenovo thinkbook,212.0,3,New,11993,United States,lenovo,Computers,3819.28
asus vivobook,432.96,3,New,12112,United States,asus,Computers,2161.63
asus zenbook,229.41,2,New,78929,United Kingdom,asus,Computers,4536.57
galaxy s10,96.03,1,Used,9190,United Kingdom,samsung,Smartphones,1120.02
dell precision,272.63,3,Used,2902,United Kingdom,dell,Computers,2608.85
ipad air,83.9,3,Used,721,United States,apple,Tablets,762.73
iphone 11,185.19,2,Used,1432,United Kingdom,apple,Smartphones,2352.32
ipad air,87.05,3,Used,3431,United Kingdom,apple,Tablets,529.34
lenovo thinkpad,204.77,3,Used,398,United States,lenovo,Computers,406.29
huawei mediapad,80.16,1,Used,19205,United Kingdom,huawei,Tablets,247.35
galaxy s20,118.21,2,Used,27114,United Kingdom,samsung,Smartphones,2338.96
iphone 12,75.97,2,New,10,Australia,apple,Smartphones,3925.12
macbook pro,209.93,3,Used,8212,United States,apple,Computers,1665.32
iphone 11,99.55,1,Seller refurbished,214574,United States,apple,Smartphones,1715.28
xiaomi redmibook,157.95,1,New,408435,Germany,xiaomi,Computers,72.18
iphone 12,175.62,2,New,1681,United Kingdom,apple,Smartphones,2992.19
galaxy s10,102.24,3,Seller refurbished,59433,United Kingdom,samsung,Smartphones,1461.83
huawei mediapad,80.56,1,Seller refurbished,127396,United Kingdom,huawei,Tablets,269.84
galaxy s21,114.68,1,New,199,United States,samsung,Smartphones,2158.13
oneplus 8 pro,102.09,2,Used,43886,United States,oneplus,Smartphones,1592.61
galaxy s21,113.21,3,New,457,United States,samsung,Smartphones,2081.69
ipad air,126.68,3,Used,4780,United Kingdom,apple,Tablets,828.56
asus zenbook,0.0,4,New,6426,South,asus,Computers,6520.76
huawei p40,117.49,4,Open box,435,Spain,huawei,Smartphones,665.8
gigabyte aero,273.04,2,Open box,5367,United Kingdom,gigabyte,Computers,5634.02
dell precision,209.84,2,Seller refurbished,17918,United Kingdom,dell,Computers,2009.21
dell vostro,277.98,2,Used,13564,United States,dell,Computers,1760.58
ipad air,84.98,1,Used,2153,United Kingdom,apple,Tablets,414.3
dell latitude,193.2,1,Used,68,United Kingdom,dell,Tablets,897.66
lenovo thinkbook,190.98,1,New,296957,United States,lenovo,Computers,2719.25
ipad pro,142.2,1,Used,914,United Kingdom,apple,Tablets,1543.85
oneplus 8 pro,85.58,1,Seller refurbished,44117,United States,oneplus,Smartphones,938.26
galaxy s20,106.22,1,New,981,United States,samsung,Smartphones,1715.28
galaxy s20,138.75,2,Used,1122,United Kingdom,samsung,Smartphones,1219.89
oneplus nord,96.12,2,Seller refurbished,717,United Kingdom,oneplus,Smartphones,1124.48
huawei matebook,181.1,1,Seller refurbished,12800,United Kingdom,huawei,Computers,2393.7
huawei mediapad,137.1,1,Used,3,Italy,huawei,Tablets,509.22
oneplus nord,90.59,1,Open box,54,United States,oneplus,Smartphones,1199.36
macbook pro,208.84,3,Used,5007,United States,apple,Computers,3653.78
xiaomi mi 11,119.87,1,New,119196,United States,xiaomi,Smartphones,1665.32
iphone x,108.04,4,Used,1335,United Kingdom,apple,Smartphones,989.58
lenovo ideapad,191.52,1,Used,119,United States,lenovo,Computers,1885.18
dell vostro,147.12,1,Seller refurbished,584,United Kingdom,dell,Computers,672.61
asus zephyrus,340.16,1,New,9,Australia,asus,Computers,9038.33
iphone 11,108.68,2,Seller refurbished,17171,United States,apple,Smartphones,1961.78
dell vostro,162.47,1,Seller refurbished,1344,United Kingdom,dell,Computers,857.7
macbook pro,236.48,3,Seller refurbished,748,United States,apple,Computers,1181.73
galaxy s10,94.13,4,Open box,78415,United States,samsung,Smartphones,1176.61
ipad pro,136.19,3,Used,43886,United States,apple,Tablets,2327.89
dell vostro,212.22,4,Seller refurbished,11993,United States,dell,Computers,3984.53
lenovo thinkpad,159.65,2,New,1822,United States,lenovo,Computers,3572.08
huawei p40,145.42,1,Used,9776,United Kingdom,huawei,Smartphones,33.74
asus zenbook,203.63,4,Seller refurbished,293554,United Kingdom,asus,Computers,2798.75
dell precision,209.45,2,Used,1765,United States,dell,Computers,1621.9
galaxy tab,92.07,1,New,981,United States,samsung,Tablets,782.46
gigabyte aero,0.0,2,New,14357,Spain,gigabyte,Computers,13609.27
iphone x,117.49,1,Used,439,Italy,apple,Smartphones,881.2
galaxy s20,146.29,1,Used,4780,United Kingdom,samsung,Smartphones,2531.8
iphone x,88.44,1,Seller refurbished,23886,United States,apple,Smartphones,1007.56
ipad air,96.42,3,Seller refurbished,5219,United States,apple,Tablets,536.21
dell vostro,155.42,1,Seller refurbished,1351,United Kingdom,dell,Computers,1128.5
ipad air,122.22,1,Used,1975,United Kingdom,apple,Tablets,575.37
asus zenbook,145.48,3,Used,85,United States,asus,Computers,2037.75
iphone 11,99.55,3,Open box,214574,United States,apple,Smartphones,2864.37
huawei p40,126.76,3,Used,5010,United Kingdom,huawei,Smartphones,1296.87
huawei mediapad,101.39,2,Used,22638,United Kingdom,huawei,Tablets,179.88
dell vostro,195.92,2,Used,554,United Kingdom,dell,Computers,1620.59
oneplus nord,126.76,3,New,5010,United Kingdom,oneplus,Smartphones,2239.46
huawei mediapad,84.15,1,Seller refurbished,2163,United Kingdom,huawei,Tablets,368.22
xiaomi mi 10,130.01,1,New,486,Hong Kong,xiaomi,Smartphones,1332.53
oneplus nord,90.29,3,New,29384,United States,oneplus,Smartphones,975.06
macbook air,164.84,4,New,872,United States,apple,Computers,3330.7
iphone 11,106.22,3,Used,17171,United States,apple,Smartphones,1715.31
macbook air,159.51,3,Used,137,United States,apple,Computers,1265.63
asus zenbook,194.87,4,New,11993,United States,asus,Computers,3887.01
dell precision,268.18,1,Seller refurbished,9012,United Kingdom,dell,Computers,5393.21
asus zenbook,202.64,1,Open box,1193,United States,asus,Computers,3329.57
huawei p40,174.73,3,New,5010,United Kingdom,huawei,Smartphones,2149.95
ipad pro,142.15,3,New,238,United States,apple,Tablets,1952.98
galaxy s20,114.97,4,Used,27114,United Kingdom,samsung,Smartphones,2159.04
huawei mediapad,216.5,1,Used,1506,Canada,huawei,Tablets,649.49
lenovo thinkbook,195.32,2,New,6008,United Kingdom,lenovo,Computers,3173.56
galaxy s20,39.16,3,Open box,69,Spain,samsung,Smartphones,1566.58
lenovo thinkbook,170.27,1,New,3158,United States,lenovo,Computers,2051.55
xiaomi redmibook,157.95,1,New,408435,Germany,xiaomi,Computers,72.18
huawei p40,199.7,4,New,128,Germany,huawei,Smartphones,724.54
iphone x,115.08,2,Seller refurbished,26,United Kingdom,apple,Smartphones,1422.44
dell vostro,162.92,3,Certified refurbished,9853,United States,dell,Computers,2213.81
lenovo thinkpad,179.53,2,Used,428,Sweden,lenovo,Computers,745.74
galaxy s20,77.99,4,Used,14,Canada,samsung,Smartphones,3249.39
asus rog strix scar,342.73,1,Used,16,Australia,asus,Computers,2277.26
xiaomi redmibook,161.07,1,New,212681,Germany,xiaomi,Computers,66.7
galaxy s21,153.61,2,Used,775,United Kingdom,samsung,Smartphones,3213.15
ipad pro,138.31,3,Used,3724,United Kingdom,apple,Tablets,595.87
ipad air,107.05,2,Seller refurbished,115019,United States,apple,Tablets,699.38
xiaomi mi 10,130.01,2,New,486,Hong Kong,xiaomi,Smartphones,2567.64
dell vostro,251.38,2,Used,2674,United States,dell,Computers,207.85
hp zbook,162.53,1,Seller refurbished,69328,United States,hp,Computers,1428.63
macbook pro,195.85,1,Used,301,Spain,apple,Computers,605.19
oneplus nord,102.03,3,New,2030,United States,oneplus,Smartphones,36.37
galaxy s20,0.0,2,Used,2133,South,samsung,Smartphones,2063.94
asus rog strix scar,195.71,1,Used,2,France,asus,Computers,3327.11
huawei p40,0.0,1,New,0,Philippines,huawei,Smartphones,1664.15
galaxy s21,113.51,4,Used,44570,United States,samsung,Smartphones,2098.31
oneplus nord,53.69,2,New,1174,India,oneplus,Smartphones,1800.51
asus vivobook,138.05,4,Open box,25284,United Kingdom,asus,Computers,1380.87
asus vivobook,178.59,4,New,7471,United States,asus,Computers,2897.68
asus vivobook,136.93,2,Seller refurbished,1535,United States,asus,Computers,716.07
huawei p40,0.0,3,New,212,United Kingdom,huawei,Smartphones,1614.81
asus zenbook,148.84,1,Open box,1798,United States,asus,Computers,4238.49
macbook pro,177.05,3,For parts or not working,4094,United Kingdom,apple,Computers,10.13
lenovo thinkbook,203.93,2,New,104100,United Kingdom,lenovo,Computers,3647.94
xiaomi redmibook,157.95,1,New,408435,Germany,xiaomi,Computers,112.81
iphone x,92.02,2,Used,8200,United States,apple,Smartphones,1064.77
huawei p40,129.9,3,New,5010,United Kingdom,huawei,Smartphones,4426.5
dell latitude,179.96,2,Seller refurbished,116,United States,dell,Tablets,849.33
lenovo ideapad,131.33,3,New,25284,United Kingdom,lenovo,Computers,1012.56
dell vostro,148.02,1,Used,149,United Kingdom,dell,Computers,722.27
galaxy s10,87.82,1,Used,29594,United States,samsung,Smartphones,844.92
iphone 11,106.58,3,Used,43886,United States,apple,Smartphones,1955.09
xiaomi mi 10,139.89,1,New,17243,Hong Kong,xiaomi,Smartphones,2631.19
dell precision,307.85,3,Seller refurbished,1880,United Kingdom,dell,Computers,6967.54
hp zbook,226.77,1,Used,276,Republic of,hp,Computers,923.29
asus zephyrus,246.5,2,New,11993,United States,asus,Computers,5801.75
hp zbook,167.1,1,Used,5378,United States,hp,Computers,2073.34
asus rog strix scar,263.19,1,New,365,United States,asus,Computers,6317.19
lenovo thinkpad,130.46,3,Seller refurbished,9150,United States,lenovo,Computers,1132.41
galaxy s21,139.89,3,New,486,Hong Kong,samsung,Smartphones,2547.85
galaxy s20,101.38,3,New,47964,United States,samsung,Smartphones,19.5
asus vivobook,164.75,2,Open box,357,United Kingdom,asus,Computers,1496.05
macbook air,179.62,4,Used,293,United Kingdom,apple,Computers,1150.79
huawei p40,113.6,3,Seller refurbished,6601,France,huawei,Smartphones,1296.86
huawei matebook,204.05,4,Seller refurbished,40683,United Kingdom,huawei,Computers,2688.45
galaxy tab,95.3,1,Used,185,United States,samsung,Tablets,572.2
dell latitude,146.15,2,Seller refurbished,69328,United States,dell,Tablets,1199.02
dell latitude,183.59,2,New,408,United States,dell,Tablets,4313.26
asus rog strix scar,175.46,1,Used,43886,United States,asus,Computers,2105.64
galaxy s20,163.28,2,Used,779,United Kingdom,samsung,Smartphones,1574.33
asus vivobook,190.53,3,Open box,453,United Kingdom,asus,Computers,2278.66
huawei p30,129.9,4,New,5010,United Kingdom,huawei,Smartphones,5958.63
macbook air,103.19,1,Used,3622,United States,apple,Computers,1772.43
dell xps,133.39,2,Seller refurbished,37,United States,dell,Computers,1137.6
oneplus 8 pro,102.71,2,New,29384,United States,oneplus,Smartphones,1625.12
asus zephyrus,230.41,1,New,12722,United States,asus,Computers,4576.42
asus rog strix scar,0.0,1,New,14357,Spain,asus,Computers,7828.06
huawei mediapad,100.98,1,Used,128,United Kingdom,huawei,Tablets,404.78
xiaomi redmibook,333.07,1,New,1641,China,xiaomi,Computers,3030.94
galaxy s10,92.76,1,Open box,17337,United States,samsung,Smartphones,1105.07
ipad air,138.49,2,Seller refurbished,989,United States,apple,Tablets,666.11
dell xps,132.68,1,Used,233,United States,dell,Computers,1007.59
xiaomi mi 10,136.51,4,New,883,Hong Kong,xiaomi,Smartphones,1735.5
hp zbook,211.49,1,New,16243,Germany,hp,Computers,5588.38
asus rog strix scar,114.69,1,Seller refurbished,5,France,asus,Computers,3327.11
